TAZID,CO_FIPS,CO_NAME,TOTHH
1049,35,Salt Lake,396.0
1050,35,Salt Lake,432.0
1051,35,Salt Lake,607.0
1052,35,Salt Lake,0.0
1053,35,Salt Lake,0.0
1054,35,Salt Lake,0.0
1055,35,Salt Lake,0.0
1056,35,Salt Lake,0.0
1057,35,Salt Lake,0.0
1058,35,Salt Lake,0.0
1059,35,Salt Lake,4.0
1060,35,Salt Lake,443.0
1061,35,Salt Lake,420.0
1062,35,Salt Lake,247.0
1063,35,Salt Lake,239.0
1064,35,Salt Lake,277.0
1065,35,Salt Lake,515.0
1066,35,Salt Lake,669.0
1067,35,Salt Lake,159.0
1068,35,Salt Lake,0.0
1069,35,Salt Lake,477.0
1070,35,Salt Lake,331.0
1071,35,Salt Lake,246.0
